rent;m2;floor;rooms;walls;district
11000;36;6;1;0;2
11000;33;1;1;0;3
12000;44;3;2;0;2
12000;64;9;2;0;2
10000;20;3;1;1;1
8000;19;5;1;1;2
16000;50;5;2;1;4
12000;44;3;1;1;4
13000;43;5;2;0;3
13000;40;2;1;1;4
18000;70;9;3;0;4
16000;54;12;2;0;1
15000;60;5;3;1;2
8000;16;2;1;1;2
18000;45;5;1;1;1
20000;65;8;2;1;4
6000;14;3;1;1;4
15000;44;5;1;0;1
15000;50;3;2;1;4
9000;20;2;1;1;2
12000;54;3;3;1;3
20000;54;7;2;1;1
10000;21;2;1;1;4
12000;40;1;1;1;2
17500;45;3;1;1;4
19000;70;9;3;0;1
16000;43;7;1;1;1
14000;35;5;1;1;4
8500;28;7;1;1;2
8000;19;2;1;1;3
8500;18;3;1;1;3
8000;17;1;1;0;2
10000;19;3;1;1;4
14000;38;8;1;1;4
11000;32;5;1;1;1
12000;44;6;1;1;2
8500;30;5;1;1;1
14000;44;3;2;1;2
9000;36,5;9;1;1;3
7500;11;1;1;0;4
6000;12;3;1;1;4
12000;45;7;1;1;2
12000;29;4;1;1;3
9500;16;4;1;1;1
7000;19;1;1;1;4
14000;44;4;2;0;3
11000;31;2;1;0;2
19000;54;1;2;1;1
13000;54;3;2;1;2
11000;39;3;1;0;2
12000;40;2;2;0;3
16000;30;1;1;1;1
12000;31;1;1;1;3
7000;12;4;1;1;4
6000;12;1;1;0;1
11000;36;7;1;0;4
7500;19;3;1;1;3
10000;18,5;1;1;1;2
11000;57,1;1;3;0;2
12000;34;3;1;1;1
20000;69;2;2;1;4
12000;43;7;1;0;3
10000;35;5;1;1;4
11000;22;7;1;1;1
7000;15;1;1;0;4
7000;36;1;1;1;3
13000;40;7;2;0;3
12000;34;6;1;1;4
13000;39;12;1;0;1
14000;60;6;2;0;4
16000;60;8;2;1;4
17000;42;2;3;1;1
9000;19;3;1;1;2
20000;70;10;3;0;4
13000;44;7;2;0;3
12000;40;5;1;1;2
19000;50;4;1;1;1
10000;30;2;1;0;2
14000;33;4;1;1;1
11000;30;3;1;0;2
9000;19;4;1;1;4
13000;44;8;1;1;4
14000;24;1;1;1;1
10000;24;5;1;0;3
15000;48;8;1;1;4
12000;50;3;1;1;2
16000;65;7;2;1;1
8000;16;5;1;1;1
6500;26;2;1;0;3
8000;19;3;1;1;2
7000;12;3;1;1;3
10000;30;3;1;0;2
18000;50;3;2;1;1
8000;18;3;1;1;2
7000;13;3;1;1;2
20000;55;1;2;1;4
12000;30;4;1;1;4
7500;14;1;1;1;1
6500;21;2;1;1;2
20000;64;3;3;0;2
14000;40;12;1;0;1
9000;24;1;1;1;4
13000;44;4;1;0;2
13000;48;5;2;1;2
15000;65;4;2;1;4
11000;36;2;1;0;4
13000;40;4;2;0;3
13000;43;5;2;1;4
13000;33;2;1;0;3
15000;54;1;2;0;3
10000;35;4;1;1;4
13000;40;12;1;0;3
13000;68;4;2;0;2
11000;33;4;1;0;1
7500;15;1;1;0;3
10000;30;8;1;1;2
13000;60;4;2;0;2
13000;38;2;2;0;3
8000;16;1;1;1;2
20000;66;6;3;0;3
6000;20;2;1;1;1
20000;50;4;2;1;1
10000;30;2;1;1;3
9000;30;8;1;1;1
10500;31;3;1;1;1
10000;36;4;1;1;3
7000;30;1;2;1;3
7500;20;3;1;1;2
8000;17;3;1;1;2
11000;30;8;1;1;2
